A	P[vv2]
E	[{0hh}vv2]
E~a	[{0h(hv)}vv2]
I	L{[hh][hh]h}
I~a	L[{hhh}{hh}]
U	c
Ú	L[{0hh}vvv]
BA	[{0hh'd}v]
BI	L{[hc][hc]}
BU	L[{cc}{cc}h]
PA	({0hh0}v)
DA	L[{0h[h2c]h}v]
DI	L[{[cc]hh}v]
DU	L[{[0c]hh2}v]
DU~a	L[{h'hh2}v]
TA	L[{0[hc]([hc][0vv0])}v]
TE	[{cc}{cc}v]
TI	{v[hc]c}
TU	L[{cc}{cc}{hhhh}v]
GA	L{[hc]([hc][0vv0])}
GI	L[hvv<T{[vvv]h}>]
GU	L[{cc}h{cc}]
KA	L[{[hc]h}v{0hh}v]
KI	[{[cc]h'h'h'h}v]
KU	[{0hh'h}v]
QA	P[hv]
QA~a	P[{dh0}v]
ZA	P[{vv}{vv}]
ZI	L[hvv{cc}{cc}]
ZU	L[{0h2h}vv]
MA	L[{0hhh}v]
ME	[vh]
MI	L[c{hh}{hh}]
MU	[h{cc}{cc}]
NA	[{[0c][hc]0}v]
NE	W[{0hh}{0<T{[vvv]v}>}{0hh}v]
NI	L{du}
NI~a	L{d(u[0vv0])}
NU	(ch)
RA	L[{hhhh}{[vv]h}]
RI	L[hvvcv]
RU	L{[dvvv]h}
RU	L{[cvvv]h}
LA	L[{[{0hh}{hhh}]h}v]
LI	L[{cc}{cc}{hh}{hh}v]
LU	({hhh}[vvv])
ŠA	L[{0[hc]([hc]v)}v]
ŠE	[{cc}{cc}]
ŠE~a	<T{v[vvv]}>
ŠI	[cvh]
ŠU	[{h'h'h'h}v]
ŠÚ	(v{0d})
ḪA	[{vv}{0c}{vv}c]
ḪA~a	P[{vv}{0c}{vv}]
ḪE	L[{0hh0}{hh2h}]
ḪI	<T{[vvv]v}>
ḪU	[hvcv]
WA	[{cc}vh]
WI5	L[{0[hc]h}v{0dh}]
WI5~a	L{[{0[hc]}v{0d}]h2}
YA	L[{[hh][hh]h}vv2]
