AP	L[{hh}{hh}v]
IP	L[v{h'h}vv]
UP	P{chhc}
AT	L[{0hh0}{hhhh}v]
IT	L[{hh2h}<T{[vvv]v}>v]
UT	P[{cc0}v]
AK	L[{[0hh][hhh][0hh]h}v{0hh}]
IK	L[{h'[h'c]h'h}v{cc}]
IK~a	[{[vcv]h}{cc}]
UK	L[{hh}{d'hu'}]
AM	L[{hh}<T{[vvv]v}>]
IM	L[<T{[vvv]v}>hvv]
UM	L[{hh}{h0h}v]
AN	(h2v)
EN	[{0hv}{[vv]d2}]
IN	L[{ccc}{ccc}{du}]
UN	[{0h(hv')}{vv}{vv}]
AR	W[cvh2vvcv]
IR	L{d(u[0vvv0])}
UR	L[{[vvh]h}v]
ÚR	W[{[hc]h}{hh}vv]
AL	[{0hh}{[vv]h}]
EL	L[{cc}h{[vvv]h}]
IL	W[{chh}{d2u}vvv2]
UL	L[c{[hc]([hc]v)}]
AH	[{0c0}{chc}]
AŠ	h
EŠ	[ccc]
IŠ	L[{0[hc]h}vv]
UŠ	L[{0[hc]h}v]
AZ	L[{hh}{d'hu'}]
IZ	P[{hh}v]
UZ	L[{cc}{cc}hvcv]
