"Subject","Duration","System","List","Index","Which","Name","Result","Accuracy"
"PA1",210.58,"H","S1",0,2,"2_lugal","LÚ",0
"PA1",165.357,"H","S1",1,0,"0_ance","ANŠE",1
"PA1",71.172,"H","S1",2,1,"0_gir4","GIR₄",1
"PA1",51.547,"H","P1",0,3,"0_kiri6","SAR",1
"PA1",151.668,"H","P1",1,10,"2_gada","GAD(A)",1
"PA1",143.59,"H","P1",2,15,"4_6","ŠÀ/ŠAG₄",0
"PA1",165.767,"H","P1",3,14,"3_sa5","KAL(A(G))",1
"PA1",86.932,"H","P1",4,11,"2_gir3","GÌR(I)",1
"PA1",40.662,"H","P1",5,6,"0_ziz2","ZÍZ",1
"PA1",41.729,"H","P1",6,1,"0_gur","GUR",1
"PA1",67.859,"H","P1",7,4,"0_nita2","ARAD",1
"PA1",132.672,"H","P1",8,12,"2_nag","SANGA",1
"PA1",63.05,"H","P1",9,7,"1_gag","DÙ (DRU)",1
"PA1",78.001,"H","P1",10,9,"2_dugud","DUGUD",1
"PA1",191.279,"H","P1",11,2,"0_kac4","EGIR (EŊIR)",0
"PA1",386.14,"H","P1",12,0,"0_cudun3","ŠÙDUL/ŠÙDUN",1
"PA1",181.999,"H","P1",13,5,"0_sig2+munus","SÍG+MUNUS",1
"PA1",51.451,"H","P1",14,13,"3_mac2","MÁŠ",1
"PA1",71.567,"H","P1",15,8,"1_tur","DUMU",1
"PA1",213.732,"Z","S2",0,1,"0_ku7","KU7",1
"PA1",163.435,"Z","S2",1,2,"2_siskur","TAH",0
"PA1",187.33,"Z","S2",2,0,"0_ejir","EGIR",1
"PA1",91.144,"Z","P2",0,8,"1_gal","DAG",0
"PA1",205.844,"Z","P2",1,3,"0_kid","UGA",1
"PA1",273.466,"Z","P2",2,5,"0_sanga","SANGA",1
"PA1",63.814,"Z","P2",3,13,"3_inanna","KUD",0
"PA1",187.287,"Z","P2",4,1,"0_dam","NIN9",0
"PA1",116.438,"Z","P2",5,6,"0_sipa","SIPA(D)",1
"PA1",52.939,"Z","P2",6,12,"2_urudu","DUB",1
"PA1",91.079,"Z","P2",7,15,"4_tu7","BIR",1
"PA1",145.476,"Z","P2",8,7,"1_ama","AMA",1
"PA1",34.194,"Z","P2",9,11,"2_gig","GIG",1
"PA1",53.457,"Z","P2",10,10,"2_duh","UZU",0
"PA1",100.554,"Z","P2",11,9,"2_alam","ALAM/ALAN",1
"PA1",151.129,"Z","P2",12,2,"0_hub","KAB",1
"PA1",67.054,"Z","P2",13,0,"0_ca3","TIBULA",1
"PA1",216.023,"Z","P2",14,4,"0_pu2","NITA",1
"PA1",123.948,"Z","P2",15,14,"3_sir3","KECDA",1
